id,keyword,sdggoal,target,reference1,reference2,note
663,Glacier dynamics (7),14,14.2,7,0,
664,Glacier mass (7),14,14.2,7,0,
665,Glacier retreat (7),14,14.2,7,0,
666,Marine biodiversity,14,14.2,0,0,
667,Marine conservation (7),14,14.2,7,0,
668,Marine ecosystem,14,14.2,0,0,
669,Ocean conservation ,14,14.2,0,0,
670,Ocean system (17),14,14.2,17,0,
671,Ocean temperature,14,14.2,0,0,
672,Ocean warming,14,14.2,0,0,
673,Plastic pollution (7),14,14.2,7,0,
674,Plastic waste (7),14,14.2,7,0,
675,Productive ocean,14,14.2,0,0,
676,Protected area,14,14.2,0,0,
677,Sea surface temperature,14,14.2,0,0,
678,Biodiversity,14,14.2,0,0,
679,Eco-restoration (14),14,14.2,14,0,
680,Global warming,14,14.2,0,0,
681,Sustainable ecosystem,14,14.2,0,0,
682,Earth system (7),14,14.2,7,0,
683,Ecological resilience (7),14,14.2,7,0,
684,Ecosystem restoration,14,14.2,0,0,
685,Biodiversity loss,14,14.2,0,0,
686,Natural resource depletion (19),14,14.2,19,0,
687,Restoration (7),14,14.2,7,0,
688,Environmental disaster (7),14,14.2,7,0,
689,Crops,14,14.2,0,0,
690,carbon abatement (40),14,14.2,40,0,
691,Reduce pollution (3),14,14.2,3,0,
692,"WASH (water, sanitation and hygiene)",14,14.2,,0,
693,"Water, Sanitation and Hygiene for All ",14,14.2,0,0,
694,Caring for the commons  (31),14,14.2,31,0,
695,Caring for the public goods  (31),14,14.2,31,0,
696,Common good (26),14,14.2,26,0,
697,Contaminated ,14,14.2,0,0,
698,Contamination (7),14,14.2,7,0,
699,Decarbonisation,14,14.2,0,0,
700,Deep decarbonisation,14,14.2,0,0,
701,Life cycle,14,14.2,0,0,
702,Life cycle analysis (7),14,14.2,7,0,
703,Carbon negative ,14,14.2,0,0,
704,Carbon neutral (25),14,14.2,25,0,
705,Carbon neutrality (25),14,14.2,25,0,
706,Carbon emission (3) ,14,14.2,3,0,
707,Solid waste (7),14,14.2,7,0,
708,Waste composting (7),14,14.2,7,0,
709,Waste sorting (7),14,14.2,7,0,
710,Water pollution,14,14.2,0,0,
711,Water saving (7),14,14.2,7,0,
712,Water supply,14,14.2,0,0,
713,Millennium Development Goals (19),14,14.2,19,0,
714,Net zero carbon (39),14,14.2,39,0,
715,Net zero emissions (39),14,14.2,39,0,
716,Resilience,14,14.2,0,0,
717,Resilient,14,14.2,0,0,
718,Solid waste segregation (16),14,14.2,16,0,
719,Extinct,14,14.2,0,0,
720,Extinct species,14,14.2,0,0,
721,Extinction,14,14.2,0,0,
722,Extinction risk (7),14,14.2,7,0,
723,Extinction wave (7),14,14.2,7,0,
724,Ecological,14,14.2,0,0,
725,Ecology,14,14.2,0,0,
726,Ecosystem,14,14.2,0,0,
727,Habitat fragmentation (7),14,14.2,7,0,
728,Habitat loss (7),14,14.2,7,0,
729,Climate change,14,14.2,0,0,
730,Climate emergency,14,14.2,0,0,
731,CO2 emission,14,14.2,0,0,
732,Methane emission,14,14.2,0,0,
733,Coral Bleaching,14,14.2,0,0,
734,Ecological balance,14,14.2,0,0,
735,Ecological equilibium,14,14.2,0,0,
736,Ecological footprint (7) (16),14,14.2,7,16,
737,Nitrogen oxides emission,14,14.2,0,0,
738,NOx emission,14,14.2,0,0,
739,Flood (19),14,14.2,19,0,
740,Greenhouse emission,14,14.2,0,0,
741,Greenhouse gas,14,14.2,0,0,
742,Industrial pollution (7),14,14.2,7,0,
743,Industrial waste management (7),14,14.2,7,0,
744,Industrial waste treatment (7),14,14.2,7,0,
745,Microplastic (7),14,14.2,7,0,
746,Pollution (7),14,14.2,7,0,
747,Sustainable economic growth,14,14.2,0,0,
748,Sustainable manufacturing (7),14,14.2,7,0,
749,Sustainable production,14,14.2,0,0,
750,Sustainable societies,14,14.2,0,0,
751,Sustainable society,14,14.2,0,0,
752,Sustainable tourism (19),14,14.2,19,0,
753,Water infrastructure (16),14,14.2,16,0,
754,Water resources,14,14.2,0,0,
755,Acidification (7),14,14.3,7,0,
756,Carbon dioxide,14,14.3,0,0,
757,CO2,14,14.3,0,0,
758,Conserve ocean,14,14.3,0,0,
759,Marine conservation (7),14,14.3,7,0,
760,Ocean Acidification ,14,14.3,0,0,
761,Ocean conservation,14,14.3,0,0,
762,Earth system (7),14,14.3,7,0,
763,Ecological resilience (7),14,14.3,7,0,
764,Biodiversity loss,14,14.3,0,0,
765,Air Pollution,14,14.3,0,0,
766,Reduce pollution (3),14,14.3,3,0,
767,"WASH (water, sanitation and hygiene)",14,14.3,,0,
768,"Water, Sanitation and Hygiene for All ",14,14.3,0,0,
769,Contaminated ,14,14.3,0,0,
770,Contamination (7),14,14.3,7,0,
771,Hybrid car,14,14.3,0,0,
772,Hybrid vehicle,14,14.3,0,0,
773,Water pollution,14,14.3,0,0,
774,Millennium Development Goals (19),14,14.3,19,0,
775,conservation,14,14.3,0,0,
776,Conserve,14,14.3,0,0,
777,Ecological,14,14.3,0,0,
778,Ecology,14,14.3,0,0,
779,Ecosystem,14,14.3,0,0,
780,Coral Bleaching,14,14.3,0,0,
781,Ecological balance,14,14.3,0,0,
782,Ecological equilibium,14,14.3,0,0,
783,Ecological footprint (7) (16),14,14.3,7,16,
784,Flood (19),14,14.3,19,0,
785,Industrial pollution (7),14,14.3,7,0,
786,Industrial waste management (7),14,14.3,7,0,
787,Industrial waste treatment (7),14,14.3,7,0,
788,Pollution (7),14,14.3,7,0,
789,Sustainable economic growth,14,14.3,0,0,
790,Sustainable societies,14,14.3,0,0,
791,Sustainable society,14,14.3,0,0,
792,Water infrastructure (16),14,14.3,16,0,
793,Coastal management (7),14,14.4,7,0,
794,Destructive fish practice (7),14,14.4,7,0,
795,Fish species,14,14.4,0,0,
796,Fish stock,14,14.4,0,0,
797,Fisher,14,14.4,0,0,
798,Fisheries,14,14.4,0,0,
799,Fisheries management,14,14.4,0,0,
800,Fishery,14,14.4,0,0,
801,Fishery management,14,14.4,0,0,
802,Fishing,14,14.4,0,0,
803,Fishing practice,14,14.4,0,0,
804,Illegal fishing,14,14.4,0,0,
805,Marine fisheries,14,14.4,0,0,
806,Marine fishery,14,14.4,0,0,
807,Ocean fisheries,14,14.4,0,0,
808,Ocean fishery,14,14.4,0,0,
809,Overfishing,14,14.4,0,0,
810,Sustainable fishing practice (7),14,14.4,7,0,
811,Sustainable ocean (17),14,14.4,17,0,
812,Sustainable yield (7),14,14.4,7,0,
813,Unregulated fishing,14,14.4,0,0,
814,Earth system (7),14,14.4,7,0,
815,Ecological resilience (7),14,14.4,7,0,
816,Biodiversity loss,14,14.4,0,0,
817,Human-wildlife conflict (7),14,14.4,7,0,
818,Natural resource depletion (19),14,14.4,19,0,
819,Reduce pollution (3),14,14.4,3,0,
820,Caring for the commons  (31),14,14.4,31,0,
821,Caring for the public goods  (31),14,14.4,31,0,
822,Common good (26),14,14.4,26,0,
823,Water pollution,14,14.4,0,0,
824,Millennium Development Goals (19),14,14.4,19,0,
825,Net zero carbon (39),14,14.4,39,0,
826,Net zero emissions (39),14,14.4,39,0,
827,Solid waste segregation (16),14,14.4,16,0,
828,conservation,14,14.4,0,0,
829,Conserve,14,14.4,0,0,
830,Extinct,14,14.4,0,0,
831,Extinct species,14,14.4,0,0,
832,Extinction,14,14.4,0,0,
833,Extinction risk (7),14,14.4,7,0,
834,Extinction wave (7),14,14.4,7,0,
835,Ecological,14,14.4,0,0,
836,Ecology,14,14.4,0,0,
837,Ecosystem,14,14.4,0,0,
838,Habitat fragmentation (7),14,14.4,7,0,
839,Habitat loss (7),14,14.4,7,0,
840,Coral Bleaching,14,14.4,0,0,
841,Ecological balance,14,14.4,0,0,
842,Ecological equilibium,14,14.4,0,0,
843,Ecological footprint (7) (16),14,14.4,7,16,
844,Flood (19),14,14.4,19,0,
845,Pollution (7),14,14.4,7,0,
846,Sustainable consumption,14,14.4,0,0,
847,Sustainable economic growth,14,14.4,0,0,
848,Sustainable farming,14,14.4,0,0,
849,Sustainable societies,14,14.4,0,0,
850,Sustainable society,14,14.4,0,0,
851,Sustainable tourism (19),14,14.4,19,0,
852,Coastal habitat,14,14.5,0,0,
853,Coastline,14,14.5,0,0,
854,Conservation,14,14.5,0,0,
855,Conserve,14,14.5,0,0,
856,Conserve ocean,14,14.5,0,0,
857,Glacier dynamics (7),14,14.5,7,0,
858,Glacier mass (7),14,14.5,7,0,
859,Glacier retreat (7),14,14.5,7,0,
860,Marine area,14,14.5,0,0,
861,Marine conservation (7),14,14.5,7,0,
862,Ocean conservation,14,14.5,0,0,
863,Ocean system (17),14,14.5,17,0,
864,Ocean warming,14,14.5,0,0,
865,Plastic pollution (7),14,14.5,7,0,
866,Plastic waste  (7),14,14.5,7,0,
867,Protected area,14,14.5,0,0,
868,Eco-restoration (14),14,14.5,14,0,
869,Earth system (7),14,14.5,7,0,
870,Ecological resilience (7),14,14.5,7,0,
871,Ecosystem restoration,14,14.5,0,0,
872,Biodiversity loss,14,14.5,0,0,
873,Restoration (7),14,14.5,7,0,
874,carbon abatement (40),14,14.5,40,0,
875,Reduce pollution (3),14,14.5,3,0,
876,"WASH (water, sanitation and hygiene)",14,14.5,,0,
877,"Water, Sanitation and Hygiene for All ",14,14.5,0,0,
878,Caring for the commons  (31),14,14.5,31,0,
879,Caring for the public goods  (31),14,14.5,31,0,
880,Common good (26),14,14.5,26,0,
881,Carbon negative ,14,14.5,0,0,
882,Carbon neutral (25),14,14.5,25,0,
883,Carbon neutrality (25),14,14.5,25,0,
884,Carbon emission (3) ,14,14.5,3,0,
885,Solid waste (7),14,14.5,7,0,
886,Waste composting (7),14,14.5,7,0,
887,Waste sorting (7),14,14.5,7,0,
888,Water pollution,14,14.5,0,0,
889,Millennium Development Goals (19),14,14.5,19,0,
890,Extinct,14,14.5,0,0,
891,Extinct species,14,14.5,0,0,
892,Extinction,14,14.5,0,0,
893,Extinction risk (7),14,14.5,7,0,
894,Extinction wave (7),14,14.5,7,0,
895,Ecological,14,14.5,0,0,
896,Ecology,14,14.5,0,0,
897,Ecosystem,14,14.5,0,0,
898,Habitat fragmentation (7),14,14.5,7,0,
899,Habitat loss (7),14,14.5,7,0,
900,Climate change,14,14.5,0,0,
901,Climate emergency,14,14.5,0,0,
902,CO2 emission,14,14.5,0,0,
903,Methane emission,14,14.5,0,0,
904,Coral Bleaching,14,14.5,0,0,
905,Ecological balance,14,14.5,0,0,
906,Ecological equilibium,14,14.5,0,0,
907,Ecological footprint (7) (16),14,14.5,7,16,
908,Nitrogen oxides emission,14,14.5,0,0,
909,NOx emission,14,14.5,0,0,
910,Flood (19),14,14.5,19,0,
911,Greenhouse emission,14,14.5,0,0,
912,Greenhouse gas,14,14.5,0,0,
913,Industrial pollution (7),14,14.5,7,0,
914,Industrial waste management (7),14,14.5,7,0,
915,Industrial waste treatment (7),14,14.5,7,0,
916,Microplastic (7),14,14.5,7,0,
917,Pollution (7),14,14.5,7,0,
918,Sustainable economic growth,14,14.5,0,0,
919,Sustainable manufacturing (7),14,14.5,7,0,
920,Sustainable production,14,14.5,0,0,
921,Sustainable societies,14,14.5,0,0,
922,Sustainable society,14,14.5,0,0,
923,Water infrastructure (16),14,14.5,16,0,
924,Coastal management (7),14,14.6,7,0,
925,Destructive fishing practice (7),14,14.6,7,0,
926,Ecosystem management,14,14.6,0,0,
927,Fish species,14,14.6,0,0,
928,Fish stock,14,14.6,0,0,
929,Fisher,14,14.6,0,0,
930,Fisheries,14,14.6,0,0,
931,Fisheries management,14,14.6,0,0,
932,Fishery,14,14.6,0,0,
933,Fishery management,14,14.6,0,0,
934,Fishing,14,14.6,0,0,
935,Fishing practice,14,14.6,0,0,
936,Illegal fishing,14,14.6,0,0,
937,Marine fisheries,14,14.6,0,0,
938,Marine fishery,14,14.6,0,0,
939,Overfishing,14,14.6,0,0,
940,Sustainable fishing practice (7),14,14.6,7,0,
941,Unregulated fishing,14,14.6,0,0,
942,Earth system (7),14,14.6,7,0,
943,Ecological resilience (7),14,14.6,7,0,
944,Biodiversity loss,14,14.6,0,0,
945,Caring for the commons  (31),14,14.6,31,0,
946,Caring for the public goods  (31),14,14.6,31,0,
947,Common good (26),14,14.6,26,0,
948,Water pollution,14,14.6,0,0,
949,Millennium Development Goals (19),14,14.6,19,0,
950,conservation,14,14.6,0,0,
951,Conserve,14,14.6,0,0,
952,Ecological,14,14.6,0,0,
953,Ecology,14,14.6,0,0,
954,Ecosystem,14,14.6,0,0,
955,Coral Bleaching,14,14.6,0,0,
956,Ecological balance,14,14.6,0,0,
957,Ecological equilibium,14,14.6,0,0,
958,Ecological footprint (7) (16),14,14.6,7,16,
959,Flood (19),14,14.6,19,0,
960,Pollution (7),14,14.6,7,0,
961,Sustainable economic growth,14,14.6,0,0,
962,Sustainable societies,14,14.6,0,0,
963,Sustainable society,14,14.6,0,0,
964,Aquaculture (7),14,14.7,7,0,
965,Coastal management (7),14,14.7,7,0,
966,Coastal resource,14,14.7,0,0,
967,Eco-tourism (7),14,14.7,7,0,
968,Ecosystem management,14,14.7,0,0,
969,Ecotourism (7),14,14.7,7,0,
970,Fisher,14,14.7,0,0,
971,Fisheries,14,14.7,0,0,
972,fisheries management,14,14.7,0,0,
973,fishery management,14,14.7,0,0,
974,Fishing,14,14.7,0,0,
975,Fishing practice,14,14.7,0,0,
976,Marine fisheries,14,14.7,0,0,
977,Marine fishery,14,14.7,0,0,
978,Marine resource,14,14.7,0,0,
979,Overfishing,14,14.7,0,0,
980,Sustainable fishing practice (7),14,14.7,7,0,
981,Sustainable ocean(17),14,14.7,17,0,
982,Sustainable yield (7),14,14.7,7,0,
983,Water policies,14,14.7,0,0,
984,Water policy,14,14.7,0,0,
985,Water resource ,14,14.7,0,0,
986,Water resource and policy,14,14.7,0,0,
987,Water resource and policies,14,14.7,0,0,
988,Global warming,14,14.7,0,0,
989,Earth system (7),14,14.7,7,0,
990,Ecological resilience (7),14,14.7,7,0,
991,Biodiversity loss,14,14.7,0,0,
992,Ecosystem services (16),14,14.7,16,0,
993,Addis Ababa Action Agenda (19),14,14.7,19,0,
994,Sustainable energy service,14,14.7,0,0,
995,Circular economy,14,14.7,0,0,
996,Eco tourism,14,14.7,0,0,
997,Natural resource,14,14.7,0,0,
998,Resourse footprint (7) (16),14,14.7,7,16,
999,Restructuring taxation (19),14,14.7,19,0,
1000,Water pollution,14,14.7,0,0,
1001,Water saving (7),14,14.7,7,0,
1002,Water supply,14,14.7,0,0,
1003,Millennium Development Goals (19),14,14.7,19,0,
1004,Net zero assets (39),14,14.7,39,0,
1005,Per capita material footprint (20),14,14.7,20,0,
1006,conservation,14,14.7,0,0,
1007,Conserve,14,14.7,0,0,
1008,Ecological,14,14.7,0,0,
1009,Ecology,14,14.7,0,0,
1010,Ecosystem,14,14.7,0,0,
1011,Coral Bleaching,14,14.7,0,0,
1012,Ecological balance,14,14.7,0,0,
1013,Ecological equilibium,14,14.7,0,0,
1014,Ecological footprint (7) (16),14,14.7,7,16,
1015,Flood (19),14,14.7,19,0,
1016,Industrial pollution (7),14,14.7,7,0,
1017,Industrial waste management (7),14,14.7,7,0,
1018,Industrial waste treatment (7),14,14.7,7,0,
1019,Pollution (7),14,14.7,7,0,
1020,Sustainable consumption,14,14.7,0,0,
1021,Sustainable economic growth,14,14.7,0,0,
1022,Sustainable farming,14,14.7,0,0,
1023,Sustainable societies,14,14.7,0,0,
1024,Sustainable society,14,14.7,0,0,
1025,Sustainable tourism (19),14,14.7,19,0,
1026,Aquatic ecology (16) ,14,14.A,16,0,
1027,Atmosphere ocean coupling (16),14,14.A,16,0,
1028,Atmosphere-ocean coupling (16),14,14.A,16,0,
1029,Biodiversity recovery (14) ,14,14.A,14,0,
1030,Biogeochemical cycle (7),14,14.A,7,0,
1031,Coastal biodiversity,14,14.A,0,0,
1032,Marine biodiversity,14,14.A,0,0,
1033,marine ecologies,14,14.A,0,0,
1034,marine ecology,14,14.A,0,0,
1035,ocean atmosphere coupling ,14,14.A,0,0,
1036,Ocean ecology (16),14,14.A,16,0,
1037,ocean-atmosphere coupling ,14,14.A,0,0,
1038,Oceanographies,14,14.A,0,0,
1039,Oceanography,14,14.A,0,0,
1040,Paleoceanography (7),14,14.A,7,0,
1041,Paleoclimate (16),14,14.A,16,0,
1042,Submarine geophysics (7),14,14.A,7,0,
1043,Biodiversity,14,14.A,0,0,
1044,Ecosystem management,14,14.A,0,0,
1045,Sustainable ecosystem,14,14.A,0,0,
1046,Earth system (7),14,14.A,7,0,
1047,Ecological resilience (7),14,14.A,7,0,
1048,Biodiversity loss,14,14.A,0,0,
1049,Ecosystem services (16),14,14.A,16,0,
1050,Capacity building,14,14.A,0,0,
1051,Sustainable energy service,14,14.A,0,0,
1052,Water pollution,14,14.A,0,0,
1053,Millennium Development Goals (19),14,14.A,19,0,
1054,Net zero assets (39),14,14.A,39,0,
1055,conservation,14,14.A,0,0,
1056,Conserve,14,14.A,0,0,
1057,Ecological,14,14.A,0,0,
1058,Ecology,14,14.A,0,0,
1059,Ecosystem,14,14.A,0,0,
1060,Coral Bleaching,14,14.A,0,0,
1061,Ecological balance,14,14.A,0,0,
1062,Ecological equilibium,14,14.A,0,0,
1063,Ecological footprint (7) (16),14,14.A,7,16,
1064,Flood (19),14,14.A,19,0,
1065,Industrial pollution (7),14,14.A,7,0,
1066,Industrial waste management (7),14,14.A,7,0,
1067,Industrial waste treatment (7),14,14.A,7,0,
1068,Microplastic (7),14,14.A,7,0,
1069,Pollution (7),14,14.A,7,0,
1070,R&D (20),14,14.A,20,0,
1071,R&D investment (7),14,14.A,7,0,
1072,Scientific research,14,14.A,0,0,
1073,Sustainable economic growth,14,14.A,0,0,
1074,Sustainable farming,14,14.A,0,0,
1075,Sustainable societies,14,14.A,0,0,
1076,Sustainable society,14,14.A,0,0,
1077,Technological capabilities,14,14.A,0,0,
1078,Technological development (7),14,14.A,7,0,
1079,Water infrastructure (16),14,14.A,16,0,
1080,Artisanal ,14,14.B,0,0,
1081,Coastal resource,14,14.B,0,0,
1082,Fisher,14,14.B,0,0,
1083,Fisheries,14,14.B,0,0,
1084,Fishing,14,14.B,0,0,
1085,Marine resource,14,14.B,0,0,
1086,Water policies,14,14.B,0,0,
1087,Water policy,14,14.B,0,0,
1088,Water resource ,14,14.B,0,0,
1089,Water resource and policies,14,14.B,0,0,
1090,Water resource and policy,14,14.B,0,0,
1091,Ecosystem management,14,14.B,0,0,
1092,Sustainable ecosystem,14,14.B,0,0,
1093,Earth system (7),14,14.B,7,0,
1094,Ecological resilience (7),14,14.B,7,0,
1095,Biodiversity loss,14,14.B,0,0,
1096,Ecosystem services (16),14,14.B,16,0,
1097,Equal access (4),14,14.B,4,0,
1098,Caring for country,14,14.B,0,0,
1099,Caring for countries,14,14.B,0,0,
1100,Natural resource,14,14.B,0,0,
1101,Resourse footprint (7) (16),14,14.B,7,16,
1102,Restructuring taxation (19),14,14.B,19,0,
1103,Water pollution,14,14.B,0,0,
1104,Millennium Development Goals (19),14,14.B,19,0,
1105,Net zero assets (39),14,14.B,39,0,
1106,conservation,14,14.B,0,0,
1107,Conserve,14,14.B,0,0,
1108,Ecological,14,14.B,0,0,
1109,Ecology,14,14.B,0,0,
1110,Ecosystem,14,14.B,0,0,
1111,Coral Bleaching,14,14.B,0,0,
1112,Ecological balance,14,14.B,0,0,
1113,Ecological equilibium,14,14.B,0,0,
1114,Ecological footprint (7) (16),14,14.B,7,16,
1115,Flood (19),14,14.B,19,0,
1116,Inequalities (14),14,14.B,14,0,
1117,Inequality (14),14,14.B,14,0,
1118,Equality,14,14.B,0,0,
1119,Inequity,14,14.B,0,0,
1120,Inequities (14),14,14.B,14,0,
1121,Pollution (7),14,14.B,7,0,
1122,Small enterprise (7),14,14.B,7,0,
1123,Small entrepreneur (7),14,14.B,7,0,
1124,Sustainable economic growth,14,14.B,0,0,
1125,Sustainable farming,14,14.B,0,0,
1126,Sustainable societies,14,14.B,0,0,
1127,Sustainable society,14,14.B,0,0,
1128,Coastal resource,14,14.C,0,0,
1129,Conservation,14,14.C,0,0,
1130,Conserve ,14,14.C,0,0,
1131,Conserve ocean,14,14.C,0,0,
1132,Law of the Sea,14,14.C,0,0,
1133,Marine conservation (7),14,14.C,7,0,
1134,Ocean conservation ,14,14.C,0,0,
1135,Sustainable fishing practice (7),14,14.C,7,0,
1136,Sustainable ocean(17),14,14.C,17,0,
1137,Unregulated fishing,14,14.C,0,0,
1138,Water policies,14,14.C,0,0,
1139,Water policy,14,14.C,0,0,
1140,Water resource ,14,14.C,0,0,
1141,Water resource and policy,14,14.C,0,0,
1142,Water resource and policies,14,14.C,0,0,
1143,Ecosystem management,14,14.C,0,0,
1144,Sustainable ecosystem,14,14.C,0,0,
1145,Earth system (7),14,14.C,7,0,
1146,Ecological resilience (7),14,14.C,7,0,
1147,Biodiversity loss,14,14.C,0,0,
1148,Ecosystem services (16),14,14.C,16,0,
1149,Company credibility (3),14,14.C,3,0,
1150,Consumption of Resources (17),14,14.C,17,0,
1151,Natural resource,14,14.C,0,0,
1152,Resourse footprint (7) (16),14,14.C,7,16,
1153,Water pollution,14,14.C,0,0,
1154,Millennium Development Goals (19),14,14.C,19,0,
1155,Conserve,14,14.C,0,0,
1156,Ecological,14,14.C,0,0,
1157,Ecology,14,14.C,0,0,
1158,Ecosystem,14,14.C,0,0,
1159,Coral Bleaching,14,14.C,0,0,
1160,Ecological balance,14,14.C,0,0,
1161,Ecological equilibium,14,14.C,0,0,
1162,Ecological footprint (7) (16),14,14.C,7,16,
1163,Flood (19),14,14.C,19,0,
1164,Industrial pollution (7),14,14.C,7,0,
1165,Industrial waste management (7),14,14.C,7,0,
1166,Industrial waste treatment (7),14,14.C,7,0,
1167,Pollution (7),14,14.C,7,0,
1168,Sustainable economic growth,14,14.C,0,0,
1169,Sustainable societies,14,14.C,0,0,
1170,Sustainable society,14,14.C,0,0,
